,7_corr,7_pval,7_qval,7_ci_low,7_ci_high,2_corr,2_pval,2_qval,2_ci_low,2_ci_high,0_corr,0_pval,0_qval,0_ci_low,0_ci_high,3_corr,3_pval,3_qval,3_ci_low,3_ci_high
IRX2,0.4698623851286315,0.0,0.0,0.45038005750462323,0.4888974823488108,0.47096941741339704,0.0,0.0,0.45151259167223123,0.48997855794054085,-0.5811468712127977,0.0,0.0,-0.5972809720109441,-0.5645426097940915,-0.3757843550956117,1.631818101252066e-215,1.483471001138242e-213,-0.3968111965864882,-0.3543633305462476
EFNA1,0.46250036572662223,0.0,0.0,0.44285003919163934,0.48170659329593685,-0.009711733720523075,0.4412199990664609,0.48512369331111704,-0.034415218350277776,0.015003611125773284,-0.21288767838570696,7.025310179379538e-66,2.0908661248153384e-65,-0.2363559947363598,-0.18917113068373287,-0.11002185820032297,1.9550393546388327e-18,5.298209633167569e-18,-0.13436827749886543,-0.08554269033287154
LIX1,0.45946729335038117,0.0,0.0,0.4397485591511186,0.4787432722895917,0.04264700591834784,0.0007148269869671863,0.001017547312408806,0.017954183435746885,0.067287836557077,-0.21975958727586842,3.200540193692827e-70,9.986084847715529e-70,-0.2431508658779111,-0.1961128620829281,-0.16984963423546856,3.984782979816547e-42,1.832084128651286e-41,-0.19374816288378835,-0.14574964232356344
MSX2,0.4541985013519151,0.0,0.0,0.4343620530891593,0.4735946020289386,-0.035434743319793655,0.004938124800738012,0.006668635787627294,-0.06009386593866605,-0.01073239711809157,-0.21134328040450676,6.325459664551902e-65,1.868673460724343e-64,-0.23482859432144756,-0.18761136691277888,-0.07160523278744355,1.286802992456109e-08,2.661433283259791e-08,-0.09614684595850151,-0.04697661337234062
TMEM54,0.4361741550562898,8.23821593213521e-301,6.590572745708167e-299,0.4159457336902435,0.45597115742583355,0.020476090243256462,0.10439338033700955,0.12630778020206843,-0.004237798153668018,0.045164980838868204,-0.21544623865117685,1.771564337777038e-67,5.3928899171294915e-67,-0.23888614041478037,-0.19175541041561583,-0.12794691679886463,1.948137691530021e-24,6.05952625670302e-24,-0.15217750732686386,-0.10356261612289817
MSX1,0.43487844325227265,9.020501157220954e-299,6.938847044016119e-297,0.41462248314497246,0.45470366672010115,-0.040499929439055234,0.0013122970636084898,0.0018470050156347499,-0.06514647336356025,-0.01580400239074924,-0.13287835276101387,2.995027435527354e-26,6.298690716145856e-26,-0.15707431882720493,-0.10852296074401833,-0.1303026351645625,2.7055157448158627e-25,8.616292180942237e-25,-0.154516834199846,-0.1059319926785815
EZR,0.43260515621011675,3.2333371751311718e-295,2.3950645741712382e-293,0.41230108718605396,0.4524796986846602,0.16335243949088846,4.858364857747043e-39,1.2505443649284539e-38,0.1392026179232443,0.1873080726304678,-0.3263011509262206,7.078586375612222e-159,4.56682991974982e-158,-0.34820515300735966,-0.30404103276292255,-0.2013137081355841,6.476049009513152e-59,4.164661742452187e-58,-0.2249065840464009,-0.17748491831349203
ID4,0.42794042954837685,5.126763303348595e-288,3.6619737881061393e-286,0.4075384676855454,0.4479153991281018,0.15312843989583136,1.9267732534812178e-34,4.693722907384209e-34,0.1289044795033957,0.17716976104492252,-0.30919749724722156,9.483727233573294e-142,5.342944920322982e-141,-0.3313772508986181,-0.2866761913187246,-0.20175599528493626,3.573499857345035e-59,2.3054837789322806e-58,-0.2253442310419862,-0.17793137121664293
TMEM154,0.39184946277463467,2.379777006516238e-236,1.3220983369534658e-234,0.37072757900331166,0.4125662112033127,0.03408840047315046,0.006847883520558519,0.009148808978702095,0.009384561804775066,0.05875065394384161,-0.20011684882744304,3.213095293393004e-58,8.937678145738537e-58,-0.22372223357654772,-0.17627683537036495,-0.12897669913548807,8.256649543928945e-25,2.588291393081174e-24,-0.15320015766204712,-0.10459833497543213
PPM1N,0.39149462800270934,7.08883226485523e-236,3.8318012242460703e-234,0.37036599532799114,0.41221835935169504,0.3503795982280944,4.52783991396447e-185,4.291791387644048e-184,0.32851227471727074,0.3718714963107496,-0.45234935589837144,0.0,0.0,-0.4717873004040298,-0.4324719307641348,-0.28999566098796165,6.52470256141344e-124,1.3315719513088653e-122,-0.3124681649004609,-0.2671987428818114
